nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Udang Sayur  Teriyaki,44.8,0,0,0,0,https://www.dapurumami.com/resep/udang-sayur-teriyaki-gH3Cm
Ayam Cornflakes Mayo Mayumi®️,206.5,0,0,0,0,https://www.dapurumami.com/resep/ayam-cornflakes-mayo-ENwTa
Nasi Goreng Mawut,78.5,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-mawut-4VoWG
Nasi Bakar Teri Medan,73.3,0,0,0,0,https://www.dapurumami.com/resep/nasi-bakar-teri-medan-PRec1
Gurame Goreng  Saus Tiram,143.3,0,0,0,0,https://www.dapurumami.com/resep/gurame-goreng-saus-tiram-HuQXh
Gado Gado,143.8,0,0,0,0,https://www.dapurumami.com/resep/gado-gado-93vBJ
Martabak Mie Bayam Mayumi®️,98.5,0,0,0,0,https://www.dapurumami.com/resep/martabak-mie-bayam-FkbQb
Ikan Goreng Sambal Nanas,76.5,0,0,0,0,https://www.dapurumami.com/resep/ikan-goreng-sambal-nanas-T0R05
Tumis Sawi Putih ala,24.3,0,0,0,0,https://www.dapurumami.com/resep/tumis-sawi-putih-0PHfV
Tahu Crispy,20.5,0,0,0,0,https://www.dapurumami.com/resep/tahu-crispy-QTlPm
Sumpia Ebi,69.8,0,0,0,0,https://www.dapurumami.com/resep/sumpia-ebi-fS9ly
Sambal Goreng Ati,71.3,0,0,0,0,https://www.dapurumami.com/resep/sambal-goreng-ati-gmtYl
Sayur Labu Siam,67.3,0,0,0,0,https://www.dapurumami.com/resep/sayur-labu-siam-qVQLz
Lumpia Merah Putih Mayumi®️,109.5,0,0,0,0,https://www.dapurumami.com/resep/lumpia-merah-putih-XyiQi
Ayam Kung Pao ala,159.8,0,0,0,0,https://www.dapurumami.com/resep/ayam-kung-pao-cakk1
Chawan Mushi,17,0,0,0,0,https://www.dapurumami.com/resep/chawan-mushi-d2yJs
Stik Ikan Mayo Mayumi®️,145,0,0,0,0,https://www.dapurumami.com/resep/stik-ikan-mayo-LkCRM
Ayam Pentul Crispy,135,0,0,0,0,https://www.dapurumami.com/resep/ayam-pentul-crispy-orD5T
Tumis Kecipir,79.5,0,0,0,0,https://www.dapurumami.com/resep/tumis-kecipir-VGGln
Mun Tahu ala,78.5,0,0,0,0,https://www.dapurumami.com/resep/mun-tahu-Dr4pQ
Roti Isi Goreng,130,0,0,0,0,https://www.dapurumami.com/resep/roti-isi-goreng-uqya5
Sop Kambing,44.5,0,0,0,0,https://www.dapurumami.com/resep/sop-kambing-sWDQm
Bakso Tahu,72.3,0,0,0,0,https://www.dapurumami.com/resep/bakso-tahu-Pskqn
Tumis Bunga Pepaya ala,27.5,0,0,0,0,https://www.dapurumami.com/resep/tumis-bunga-pepaya-IaMfF
Ayam Panggang Yogurt,80,0,0,0,0,https://www.dapurumami.com/resep/ayam-panggang-yogurt-UNfKb
Sayur Asem,46.8,0,0,0,0,https://www.dapurumami.com/resep/sayur-asem-UmD3Y
